codigoVuelo,origen,destino,horaSalida,horaLlegada,duracionHoras,capacidadMaxima,esIntercontinental
SPIM-SCEL-20260723-1112-0150,SPIM,SCEL,2026-07-23T11:12:00,2026-07-23T19:12:00,6,150,false
SPIM-SVMI-20260723-1112-0150,SPIM,SVMI,2026-07-23T11:12:00,2026-07-23T18:12:00,6,150,false
SPIM-SBBR-20260723-1112-0150,SPIM,SBBR,2026-07-23T11:12:00,2026-07-23T19:12:00,6,150,false
SPIM-SKBO-20260723-1112-0150,SPIM,SKBO,2026-07-23T11:12:00,2026-07-23T17:12:00,6,150,false
SPIM-SGAS-20260723-1112-0150,SPIM,SGAS,2026-07-23T11:12:00,2026-07-23T18:12:00,6,150,false
SPIM-SUAA-20260723-1112-0150,SPIM,SUAA,2026-07-23T11:12:00,2026-07-23T19:12:00,6,150,false
SPIM-EBCI-20260723-1112-0150,SPIM,EBCI,2026-07-23T11:12:00,2026-07-24T06:12:00,12,150,true
SPIM-LBSF-20260723-1112-0150,SPIM,LBSF,2026-07-23T11:12:00,2026-07-24T07:12:00,12,150,true
SPIM-OAKB-20260723-1112-0150,SPIM,OAKB,2026-07-23T11:12:00,2026-07-24T08:12:00,12,150,true
SPIM-OPKC-20260723-1112-0150,SPIM,OPKC,2026-07-23T11:12:00,2026-07-24T09:12:00,12,150,true
SPIM-EHAM-20260723-1112-0150,SPIM,EHAM,2026-07-23T11:12:00,2026-07-24T06:12:00,12,150,true
SPIM-OMDB-20260723-1112-0150,SPIM,OMDB,2026-07-23T11:12:00,2026-07-24T08:12:00,12,150,true
SABE-SCEL-20260723-1312-0150,SABE,SCEL,2026-07-23T13:12:00,2026-07-23T19:12:00,6,150,false
SABE-SVMI-20260723-1312-0150,SABE,SVMI,2026-07-23T13:12:00,2026-07-23T18:12:00,6,150,false
SABE-SBBR-20260723-1312-0150,SABE,SBBR,2026-07-23T13:12:00,2026-07-23T19:12:00,6,150,false
SABE-SKBO-20260723-1312-0150,SABE,SKBO,2026-07-23T13:12:00,2026-07-23T17:12:00,6,150,false
SABE-SGAS-20260723-1312-0150,SABE,SGAS,2026-07-23T13:12:00,2026-07-23T18:12:00,6,150,false
SABE-SUAA-20260723-1312-0150,SABE,SUAA,2026-07-23T13:12:00,2026-07-23T19:12:00,6,150,false
SABE-EBCI-20260723-1312-0150,SABE,EBCI,2026-07-23T13:12:00,2026-07-24T06:12:00,12,150,true
SABE-LBSF-20260723-1312-0150,SABE,LBSF,2026-07-23T13:12:00,2026-07-24T07:12:00,12,150,true
SABE-OAKB-20260723-1312-0150,SABE,OAKB,2026-07-23T13:12:00,2026-07-24T08:12:00,12,150,true
SABE-OPKC-20260723-1312-0150,SABE,OPKC,2026-07-23T13:12:00,2026-07-24T09:12:00,12,150,true
SABE-EHAM-20260723-1312-0150,SABE,EHAM,2026-07-23T13:12:00,2026-07-24T06:12:00,12,150,true
SABE-OMDB-20260723-1312-0150,SABE,OMDB,2026-07-23T13:12:00,2026-07-24T08:12:00,12,150,true
EKCH-SCEL-20260723-1812-0150,EKCH,SCEL,2026-07-23T18:12:00,2026-07-24T02:12:00,13,150,true
EKCH-SVMI-20260723-1812-0150,EKCH,SVMI,2026-07-23T18:12:00,2026-07-24T01:12:00,13,150,true
EKCH-SBBR-20260723-1812-0150,EKCH,SBBR,2026-07-23T18:12:00,2026-07-24T02:12:00,13,150,true
EKCH-SKBO-20260723-1812-0150,EKCH,SKBO,2026-07-23T18:12:00,2026-07-24T00:12:00,13,150,true
EKCH-SGAS-20260723-1812-0150,EKCH,SGAS,2026-07-23T18:12:00,2026-07-24T01:12:00,13,150,true
EKCH-SUAA-20260723-1812-0150,EKCH,SUAA,2026-07-23T18:12:00,2026-07-24T02:12:00,13,150,true
EKCH-EBCI-20260723-1812-0150,EKCH,EBCI,2026-07-23T18:12:00,2026-07-23T22:12:00,4,150,false
EKCH-LBSF-20260723-1812-0150,EKCH,LBSF,2026-07-23T18:12:00,2026-07-23T23:12:00,4,150,false
EKCH-OAKB-20260723-1812-0150,EKCH,OAKB,2026-07-23T18:12:00,2026-07-24T00:12:00,4,150,false
EKCH-OPKC-20260723-1812-0150,EKCH,OPKC,2026-07-23T18:12:00,2026-07-24T01:12:00,4,150,false
EKCH-EHAM-20260723-1812-0150,EKCH,EHAM,2026-07-23T18:12:00,2026-07-23T22:12:00,4,150,false
EKCH-OMDB-20260723-1812-0150,EKCH,OMDB,2026-07-23T18:12:00,2026-07-24T00:12:00,4,150,false
VIDP-SCEL-20260723-2112-0150,VIDP,SCEL,2026-07-23T21:12:00,2026-07-24T02:12:00,13,150,true
VIDP-SVMI-20260723-2112-0150,VIDP,SVMI,2026-07-23T21:12:00,2026-07-24T01:12:00,13,150,true
VIDP-SBBR-20260723-2112-0150,VIDP,SBBR,2026-07-23T21:12:00,2026-07-24T02:12:00,13,150,true
VIDP-SKBO-20260723-2112-0150,VIDP,SKBO,2026-07-23T21:12:00,2026-07-24T00:12:00,13,150,true
VIDP-SGAS-20260723-2112-0150,VIDP,SGAS,2026-07-23T21:12:00,2026-07-24T01:12:00,13,150,true
VIDP-SUAA-20260723-2112-0150,VIDP,SUAA,2026-07-23T21:12:00,2026-07-24T02:12:00,13,150,true
VIDP-EBCI-20260723-2112-0150,VIDP,EBCI,2026-07-23T21:12:00,2026-07-23T22:12:00,4,150,false
VIDP-LBSF-20260723-2112-0150,VIDP,LBSF,2026-07-23T21:12:00,2026-07-23T23:12:00,4,150,false
VIDP-OAKB-20260723-2112-0150,VIDP,OAKB,2026-07-23T21:12:00,2026-07-24T00:12:00,4,150,false
VIDP-OPKC-20260723-2112-0150,VIDP,OPKC,2026-07-23T21:12:00,2026-07-24T01:12:00,4,150,false
VIDP-EHAM-20260723-2112-0150,VIDP,EHAM,2026-07-23T21:12:00,2026-07-23T22:12:00,4,150,false
VIDP-OMDB-20260723-2112-0150,VIDP,OMDB,2026-07-23T21:12:00,2026-07-24T00:12:00,4,150,false
